id,date,value
err2,2023-05-23 15:20:25,3001666743828.48
err2,2023-05-24 14:01:02,3001666743828.48
err2,2023-05-25 14:01:06,3012661860106.24
err2,2023-05-26 14:01:05,3023656976384.0
err2,2023-05-27 14:01:01,3034652092661.76
err2,2023-05-28 14:01:12,3045647208939.52
err2,2023-05-29 14:01:34,3045647208939.52
err2,2023-05-30 14:01:25,3056642325217.28
err2,2023-05-31 14:01:28,3067637441495.04
err2,2023-06-01 14:01:21,3078632557772.8
err2,2023-06-02 14:01:19,3100622790328.32
err2,2023-06-03 14:01:16,3111617906606.08
err2,2023-06-04 14:01:22,3122613022883.84
err2,2023-06-05 14:01:21,3122613022883.84
err2,2023-06-06 14:01:21,3133608139161.6
err2,2023-06-07 14:01:21,3144603255439.36
err2,2023-06-08 14:01:25,3155598371717.12
err2,2023-06-09 14:01:24,3177588604272.64
err2,2023-06-10 14:01:18,3188583720550.4
err2,2023-06-11 14:01:16,3199578836828.16
err2,2023-06-12 14:01:16,3199578836828.16
err2,2023-06-13 14:01:28,3199578836828.16
err2,2023-06-14 14:01:28,3210573953105.92
err2,2023-06-15 14:01:24,3232564185661.44
err2,2023-06-16 14:01:25,3243559301939.2
err2,2023-06-17 14:01:22,3254554418216.96
err2,2023-06-18 14:01:25,3265549534494.72
err2,2023-06-19 14:01:24,3265549534494.72
err2,2023-06-20 14:01:37,3276544650772.48
err2,2023-06-21 14:01:23,3287539767050.24
err2,2023-06-22 14:01:23,3309529999605.76
err2,2023-06-23 14:01:25,3320525115883.52
err2,2023-06-24 14:01:25,3331520232161.28
err2,2023-06-25 14:01:09,3342515348439.04
err2,2023-06-26 14:01:13,3342515348439.04
err2,2023-06-27 14:01:14,3353510464716.8
err2,2023-06-28 14:01:10,3364505580994.56
err2,2023-06-29 14:01:12,3386495813550.08
err2,2023-06-30 14:01:11,3397490929827.84
err2,2023-07-01 14:01:07,3408486046105.6
err2,2023-07-02 14:01:10,3419481162383.36
err2,2023-07-03 14:01:14,3430476278661.12
err2,2023-07-04 14:01:11,3441471394938.88
err2,2023-07-05 14:01:13,3452466511216.64
err2,2023-07-06 14:01:13,3463461627494.4
err2,2023-07-07 14:01:13,3474456743772.16
err2,2023-07-08 14:01:13,3496446976327.68
err2,2023-07-09 14:01:15,3496446976327.68
err2,2023-07-10 14:01:10,3507442092605.44
err2,2023-07-11 14:01:19,3518437208883.2
err2,2023-07-12 14:01:11,3529432325160.96
err2,2023-07-13 14:01:12,3551422557716.48
err2,2023-07-14 14:01:09,3562417673994.24
err2,2023-07-15 14:01:13,3573412790272.0
err2,2023-07-16 14:01:12,3584407906549.76
err2,2023-07-17 14:01:17,3595403022827.52
err2,2023-07-18 14:01:33,3606398139105.28
err2,2023-07-19 14:01:12,3617393255383.04
err2,2023-07-20 14:01:21,3639383487938.56
err2,2023-07-21 14:01:18,3650378604216.32
err2,2023-07-22 14:01:15,3661373720494.08
err2,2023-07-23 14:01:13,3672368836771.84
err2,2023-07-24 14:01:19,3683363953049.6
err2,2023-07-25 14:01:04,3694359069327.36
err2,2023-07-26 14:01:03,3716349301882.88
err2,2023-07-27 14:01:12,3727344418160.64
