id,date,value
PG02_odm,2024-06-18 02:00:33,58518929408.0
PG02_odm,2024-06-18 14:00:34,58518929408.0
PG02_odm,2024-06-19 02:00:31,182536110080.0
PG02_odm,2024-06-19 14:00:38,574451875840.0
PG02_odm,2024-07-02 02:00:42,672162381824.0
PG02_odm,2024-07-08 14:00:45,672162381824.0
PG02_odm,2024-07-09 02:00:46,182536110080.0
PG02_odm,2024-07-09 14:01:24,547608330240.0
PG02_odm,2024-07-10 02:01:11,872952102912.0
PG02_odm,2024-07-10 14:00:47,971736350720.0
PG02_odm,2024-07-11 02:00:47,999653638144.0
PG02_odm,2024-07-11 14:00:53,1027570925568.0
PG02_odm,2024-07-12 02:00:48,1034013376512.0
PG02_odm,2024-07-12 14:00:51,1043677052928.0
PG02_odm,2024-07-13 02:00:49,1052266987520.0
PG02_odm,2024-07-13 14:01:00,1057635696640.0
PG02_odm,2024-07-14 02:00:50,1069446856704.0
PG02_odm,2024-07-14 14:00:51,1072668082176.0
PG02_odm,2024-07-15 02:00:50,1073741824000.0
PG02_odm,2024-07-15 14:00:53,1084479242240.0
PG02_odm,2024-07-16 02:00:51,1084479242240.0
PG02_odm,2024-07-16 14:01:00,1095216660480.0
PG02_odm,2024-07-17 02:01:14,1095216660480.0
PG02_odm,2024-07-17 14:01:03,1105954078720.0
PG02_odm,2024-07-18 02:01:00,1105954078720.0
PG02_odm,2024-07-18 14:01:07,1105954078720.0
PG02_odm,2024-07-19 02:01:04,1116691496960.0
PG02_odm,2024-07-19 14:01:19,1116691496960.0
PG02_odm,2024-07-20 02:01:04,1127428915200.0
PG02_odm,2024-07-20 14:01:22,1170378588160.0
PG02_odm,2024-07-21 02:01:04,1181116006400.0
PG02_odm,2024-07-21 14:01:30,1181116006400.0
PG02_odm,2024-07-22 02:01:01,1202590842880.0
PG02_odm,2024-07-22 14:01:09,1213328261120.0
PG02_odm,2024-07-23 02:01:04,1256277934080.0
PG02_odm,2024-07-23 14:01:07,1256277934080.0
PG02_odm,2024-07-24 02:01:05,1267015352320.0
PG02_odm,2024-07-24 14:01:08,1277752770560.0
PG02_odm,2024-07-25 02:01:08,1288490188800.0
PG02_odm,2024-07-25 14:01:04,1288490188800.0
PG02_odm,2024-07-26 02:01:04,1299227607040.0
PG02_odm,2024-07-26 14:01:05,1299227607040.0
PG02_odm,2024-07-27 02:01:04,1309965025280.0
PG02_odm,2024-07-27 14:01:41,1320702443520.0
PG02_odm,2024-07-28 02:01:03,1331439861760.0
