id,date,value,unit
PG02_postgres,2024-08-12 14:01:16,0.271,GB
PG02_postgres,2024-08-13 02:01:14,0.271,GB
PG02_postgres,2024-08-13 14:01:16,0.271,GB
PG02_postgres,2024-08-14 02:01:08,0.271,GB
PG02_postgres,2024-08-14 14:01:11,0.266,GB
PG02_postgres,2024-08-15 02:01:13,0.266,GB
PG02_postgres,2024-08-15 14:01:11,0.266,GB
PG02_postgres,2024-08-16 02:01:09,0.266,GB
PG02_postgres,2024-08-16 14:01:12,0.267,GB
PG02_postgres,2024-08-17 02:01:10,0.267,GB
PG02_postgres,2024-08-17 14:01:12,0.267,GB
PG02_postgres,2024-08-18 02:01:13,0.268,GB
PG02_postgres,2024-08-18 14:01:16,0.268,GB
PG02_postgres,2024-08-19 02:01:13,0.268,GB
PG02_postgres,2024-08-19 14:01:16,0.268,GB
PG02_postgres,2024-08-20 02:01:12,0.268,GB
PG02_postgres,2024-08-20 14:01:18,0.268,GB
PG02_postgres,2024-08-21 02:01:13,0.268,GB
PG02_postgres,2024-08-21 14:01:23,0.269,GB
PG02_postgres,2024-08-22 02:01:14,0.269,GB
PG02_postgres,2024-08-22 14:01:26,0.269,GB
PG02_postgres,2024-08-23 02:01:16,0.269,GB
PG02_postgres,2024-08-23 14:01:22,0.269,GB
PG02_postgres,2024-08-24 02:01:14,0.269,GB
PG02_postgres,2024-08-24 14:01:18,0.277,GB
PG02_postgres,2024-08-25 02:01:15,0.277,GB
PG02_postgres,2024-08-25 14:01:21,0.286,GB
PG02_postgres,2024-08-26 02:01:15,0.286,GB
PG02_postgres,2024-08-26 14:01:20,0.296,GB
PG02_postgres,2024-08-27 02:01:16,0.296,GB
PG02_postgres,2024-08-27 14:01:38,0.306,GB
PG02_postgres,2024-08-28 02:01:16,0.306,GB
PG02_postgres,2024-08-28 14:01:33,0.314,GB
PG02_postgres,2024-08-29 02:01:17,0.314,GB
PG02_postgres,2024-08-29 14:01:27,0.323,GB
PG02_postgres,2024-08-30 02:01:15,0.323,GB
PG02_postgres,2024-08-30 14:01:44,0.334,GB
PG02_postgres,2024-08-31 02:01:16,0.334,GB
PG02_postgres,2024-08-31 14:01:13,0.344,GB
PG02_postgres,2024-09-01 02:01:13,0.344,GB
PG02_postgres,2024-09-01 14:01:38,0.344,GB
PG02_postgres,2024-09-02 02:01:09,0.344,GB
PG02_postgres,2024-09-02 14:01:23,0.344,GB
PG02_postgres,2024-09-03 02:01:09,0.344,GB
PG02_postgres,2024-09-03 14:01:25,0.346,GB
PG02_postgres,2024-09-04 02:01:11,0.346,GB
PG02_postgres,2024-09-04 14:01:14,0.349,GB
PG02_postgres,2024-09-05 02:01:10,0.35,GB
PG02_postgres,2024-09-05 14:01:19,0.352,GB
PG02_postgres,2024-09-06 02:01:08,0.352,GB
