id,date,value,unit
wd_time_range,2024-04-14,60.768420355,GB
wd_time_range,2024-04-15,60.848079363000004,GB
wd_time_range,2024-04-16,60.948546051,GB
wd_time_range,2024-04-17,61.108224515,GB
wd_time_range,2024-04-18,62.527791619000006,GB
wd_time_range,2024-04-19,62.608708399,GB
wd_time_range,2024-04-20,62.749315887,GB
wd_time_range,2024-04-21,62.758662959000006,GB
wd_time_range,2024-04-22,62.84149227100001,GB
wd_time_range,2024-04-23,62.916743983,GB
wd_time_range,2024-04-24,62.966211075000004,GB
wd_time_range,2024-04-25,63.264293379,GB
wd_time_range,2024-04-26,63.264293379,GB
wd_time_range,2024-04-27,65.428189999,GB
wd_time_range,2024-04-28,65.45449830700001,GB
wd_time_range,2024-04-29,65.582764847,GB
wd_time_range,2024-04-30,65.67080427100001,GB
wd_time_range,2024-05-01,65.72702157100001,GB
wd_time_range,2024-05-02,65.832448815,GB
wd_time_range,2024-05-03,65.95666411100001,GB
wd_time_range,2024-05-04,66.007348015,GB
wd_time_range,2024-05-05,66.122326531,GB
wd_time_range,2024-05-06,66.188112687,GB
wd_time_range,2024-05-07,66.29257707100001,GB
wd_time_range,2024-05-08,66.37987481900001,GB
wd_time_range,2024-05-09,66.445865775,GB
wd_time_range,2024-05-10,66.53011230300001,GB
wd_time_range,2024-05-11,66.626892591,GB
wd_time_range,2024-05-12,66.730275631,GB
wd_time_range,2024-05-13,66.81128192300001,GB
wd_time_range,2024-05-14,66.878427951,GB
wd_time_range,2024-05-15,66.954228527,GB
wd_time_range,2024-05-16,67.181199875,GB
wd_time_range,2024-05-17,67.631215407,GB
wd_time_range,2024-05-18,67.798356783,GB
wd_time_range,2024-05-19,67.921609219,GB
wd_time_range,2024-05-20,68.038292271,GB
wd_time_range,2024-05-21,68.108251951,GB
wd_time_range,2024-05-22,68.58070916700001,GB
wd_time_range,2024-05-23,68.684935983,GB
wd_time_range,2024-05-24,68.75465809500001,GB
wd_time_range,2024-05-25,68.979307311,GB
wd_time_range,2024-05-26,69.084025647,GB
wd_time_range,2024-05-27,69.228450607,GB
wd_time_range,2024-05-28,69.32828211500001,GB
wd_time_range,2024-05-29,69.40273540700001,GB
wd_time_range,2024-05-30,69.84054046300001,GB
wd_time_range,2024-05-31,71.236211503,GB
wd_time_range,2024-06-01,72.496100143,GB
wd_time_range,2024-06-02,73.266058031,GB
wd_time_range,2024-06-03,74.110464815,GB
wd_time_range,2024-06-04,74.915722031,GB
wd_time_range,2024-06-05,75.588338179,GB
wd_time_range,2024-06-06,76.381066031,GB
wd_time_range,2024-06-07,77.004624687,GB
wd_time_range,2024-06-08,77.689762607,GB
wd_time_range,2024-06-09,78.63500471900001,GB
wd_time_range,2024-06-10,79.60649399900001,GB
wd_time_range,2024-06-11,80.31701073500001,GB
wd_time_range,2024-06-12,81.034294063,GB
wd_time_range,2024-06-13,82.67676548700001,GB
wd_time_range,2024-06-14,84.81127300700001,GB
wd_time_range,2024-06-15,86.239081263,GB
wd_time_range,2024-06-16,87.424783151,GB
wd_time_range,2024-06-17,88.556581679,GB
wd_time_range,2024-06-18,89.722278703,GB
wd_time_range,2024-06-19,92.189950467,GB
wd_time_range,2024-06-20,92.311483183,GB
wd_time_range,2024-06-21,92.41838878300001,GB
wd_time_range,2024-06-22,92.55014891100001,GB
wd_time_range,2024-06-23,92.629218095,GB
wd_time_range,2024-06-24,92.772922159,GB
wd_time_range,2024-06-25,92.857303555,GB
wd_time_range,2024-06-26,92.91783863900001,GB
wd_time_range,2024-06-27,93.07097988700001,GB
wd_time_range,2024-06-28,93.132624687,GB
wd_time_range,2024-06-29,93.24578897500001,GB
wd_time_range,2024-06-30,93.33621606700001,GB
wd_time_range,2024-07-01,107.299074863,GB
wd_time_range,2024-07-02,107.512607535,GB
wd_time_range,2024-07-03,107.642876719,GB
wd_time_range,2024-07-04,107.749004079,GB
wd_time_range,2024-07-05,107.773571887,GB
wd_time_range,2024-07-06,107.895116591,GB
wd_time_range,2024-07-07,108.002251567,GB
wd_time_range,2024-07-08,108.17240759900001,GB
wd_time_range,2024-07-09,108.26064363100001,GB
wd_time_range,2024-07-10,108.34147409500001,GB
wd_time_range,2024-07-11,108.43464990300001,GB
wd_time_range,2024-07-12,108.43464990300001,GB
wd_time_range,2024-07-13,99.98287339100001,GB
wd_time_range,2024-07-14,100.10655620700001,GB
wd_time_range,2024-07-15,100.20877598300001,GB
wd_time_range,2024-07-16,100.26776657500001,GB
wd_time_range,2024-07-17,100.458558255,GB
wd_time_range,2024-07-18,100.60659588700001,GB
wd_time_range,2024-07-19,100.60659588700001,GB
wd_time_range,2024-07-20,100.770190127,GB
wd_time_range,2024-07-21,100.90053303900001,GB
wd_time_range,2024-07-22,100.97243422300001,GB
wd_time_range,2024-07-23,101.031252783,GB
wd_time_range,2024-07-24,101.186761519,GB
wd_time_range,2024-07-25,101.22383851100001,GB
wd_time_range,2024-07-26,101.40681062700001,GB
wd_time_range,2024-07-27,101.516268335,GB
wd_time_range,2024-07-28,101.57582417500001,GB
wd_time_range,2024-07-29,101.72445163100001,GB
wd_time_range,2024-07-30,102.93303377500001,GB
wd_time_range,2024-07-31,103.09921668700001,GB
wd_time_range,2024-08-01,103.25504491100001,GB
wd_time_range,2024-08-02,103.25504491100001,GB
wd_time_range,2024-08-03,103.393432367,GB
wd_time_range,2024-08-04,103.558927151,GB
wd_time_range,2024-08-05,103.649243951,GB
wd_time_range,2024-08-06,103.681528623,GB
wd_time_range,2024-08-07,103.788663599,GB
