created_at,count
2024-06-18 02:00:33,"54,5"
2024-06-18 14:00:34,"54,5"
2024-06-19 02:00:31,170
2024-06-19 14:00:38,535
2024-07-02 02:00:42,626
2024-07-08 14:00:45,626
2024-07-09 02:00:46,170
2024-07-09 14:01:24,510
2024-07-10 02:01:11,813
2024-07-10 14:00:47,905
2024-07-11 02:00:47,931
2024-07-11 14:00:53,957
2024-07-12 02:00:48,963
2024-07-12 14:00:51,972
2024-07-13 02:00:49,980
2024-07-13 14:01:00,985
2024-07-14 02:00:50,996
2024-07-14 14:00:51,999
2024-07-15 02:00:50,1024
2024-07-15 14:00:53,"1034,24"
2024-07-16 02:00:51,"1034,24"
2024-07-16 14:01:00,"1044,48"
2024-07-17 02:01:14,"1044,48"
2024-07-17 14:01:03,"1054,72"
2024-07-18 02:01:00,"1054,72"
2024-07-18 14:01:07,"1054,72"
2024-07-19 02:01:04,"1064,96"
2024-07-19 14:01:19,"1064,96"
2024-07-20 02:01:04,"1075,2"
2024-07-20 14:01:22,"1116,16"
2024-07-21 02:01:04,"1126,4"
2024-07-21 14:01:30,"1126,4"
2024-07-22 02:01:01,"1146,88"
2024-07-22 14:01:09,"1157,12"
2024-07-23 02:01:04,"1198,08"
2024-07-23 14:01:07,"1198,08"
2024-07-24 02:01:05,"1208,32"
2024-07-24 14:01:08,"1218,56"
2024-07-25 02:01:08,"1228,8"
2024-07-25 14:01:04,"1228,8"
2024-07-26 02:01:04,"1239,04"
2024-07-26 14:01:05,"1239,04"
2024-07-27 02:01:04,"1249,28"
2024-07-27 14:01:41,"1259,52"
2024-07-28 02:01:03,"1269,76"
2024-07-28 14:01:19,"1269,76"
2024-07-29 02:01:04,1280
2024-07-29 14:01:15,"1290,24"
2024-07-29 16:32:32,207
2024-07-30 02:01:06,354
2024-07-30 14:01:25,638
2024-07-31 02:01:09,"1095,68"
2024-07-31 14:01:11,"1310,72"
2024-08-01 02:01:06,"1331,2"
2024-08-01 14:01:21,"1341,44"
2024-08-02 02:01:07,"1341,44"
2024-08-02 14:01:17,"1351,68"
