created_at,count
2023-05-23 15:20:25,"2263,04"
2023-05-24 14:01:01,"2263,04"
2023-05-25 14:01:05,"91,5"
2023-05-26 14:01:06,"91,5"
2023-05-27 14:01:01,"91,7"
2023-05-28 14:01:12,"93,2"
2023-05-29 14:01:33,"93,3"
2023-05-30 14:01:25,"93,5"
2023-05-31 14:01:28,"94,2"
2023-06-01 14:01:20,"94,3"
2023-06-02 14:01:19,187
2023-06-03 14:01:16,317
2023-06-04 14:01:21,344
2023-06-05 14:01:21,349
2023-06-06 14:01:20,349
2023-06-07 14:01:20,408
2023-06-08 14:01:25,426
2023-06-09 14:01:23,467
2023-06-10 14:01:18,105
2023-06-11 14:01:16,147
2023-06-12 14:01:16,161
2023-06-13 14:01:28,105
2023-06-14 14:01:27,105
2023-06-15 14:01:24,158
2023-06-16 14:01:24,160
2023-06-17 14:01:23,141
2023-06-18 14:01:24,177
2023-06-19 14:01:24,"1116,16"
2023-06-20 14:01:36,"1566,72"
2023-06-21 14:01:22,"1884,16"
2023-06-22 14:01:23,"2170,88"
2023-06-23 14:01:25,"2283,52"
2023-06-24 14:01:26,"2293,76"
2023-06-25 14:01:09,"2293,76"
2023-06-26 14:01:11,"2293,76"
2023-06-27 14:01:14,191
2023-06-28 14:01:10,106
2023-06-29 14:01:11,106
2023-06-30 14:01:10,118
2023-07-01 14:01:06,123
2023-07-02 14:01:10,123
2023-07-03 14:01:14,125
2023-07-04 14:01:10,124
2023-07-05 14:01:14,124
2023-07-06 14:01:13,184
2023-07-07 14:01:13,245
2023-07-08 14:01:13,293
2023-07-09 14:01:15,309
2023-07-10 14:01:11,310
2023-07-11 14:01:17,310
2023-07-12 14:01:10,371
2023-07-13 14:01:11,"99,7"
2023-07-14 14:01:10,160
2023-07-15 14:01:13,165
2023-07-16 14:01:12,"1136,64"
2023-07-17 14:01:18,"1505,28"
2023-07-18 14:01:32,"1863,68"
2023-07-19 14:01:12,"2201,6"
2023-07-20 14:01:20,2304
2023-07-21 14:01:17,2304
2023-07-22 14:01:14,205
2023-07-23 14:01:13,144
2023-07-24 14:01:19,144
2023-07-25 14:01:04,143
2023-07-26 14:01:03,143
2023-07-27 14:01:10,144
2023-07-28 14:01:04,488
2023-07-29 14:00:59,126
2023-07-30 14:00:57,126
2023-07-31 14:00:59,127
2023-08-01 14:00:59,127
2023-08-02 14:01:00,140
2023-08-03 14:01:01,78
2023-08-04 14:01:00,134
2023-08-05 14:00:58,146
2023-08-06 14:00:59,147
2023-08-07 14:01:02,147
2023-08-09 14:01:00,147
2023-08-10 14:01:00,212
2023-08-11 14:01:00,212
2023-08-12 14:00:58,116
2023-08-13 14:00:59,125
2023-08-14 14:00:59,125
2023-08-15 14:01:00,126
2023-08-16 14:01:01,192
2023-08-17 14:01:00,275
2023-08-18 14:01:02,"1105,92"
2023-08-19 14:00:58,"1607,68"
2023-08-20 14:01:00,"1996,8"
2023-08-21 14:01:00,"2396,16"
2023-08-22 14:01:00,"2600,96"
2023-08-23 14:00:59,"2611,2"
2023-08-24 14:01:01,"2611,2"
2023-08-25 14:01:00,"2611,2"
2023-08-27 14:00:55,"61,1"
2023-08-28 14:00:59,"61,4"
2023-08-29 14:01:00,"61,8"
2023-08-30 14:00:58,124
2023-08-31 14:00:58,182
2023-09-01 14:00:58,194
2023-09-02 14:00:56,264
2023-09-03 14:00:56,264
2023-09-04 14:00:58,194
2023-09-06 14:00:57,"49,1"
2023-09-07 14:00:57,135
2023-09-08 02:00:56,153
