created_at,count
2023-05-23 15:20:25,"2795,52"
2023-05-24 14:01:02,"2795,52"
2023-05-25 14:01:06,"2805,76"
2023-05-26 14:01:05,2816
2023-05-27 14:01:01,"2826,24"
2023-05-28 14:01:12,"2836,48"
2023-05-29 14:01:34,"2836,48"
2023-05-30 14:01:25,"2846,72"
2023-05-31 14:01:28,"2856,96"
2023-06-01 14:01:21,"2867,2"
2023-06-02 14:01:19,"2887,68"
2023-06-03 14:01:16,"2897,92"
2023-06-04 14:01:22,"2908,16"
2023-06-05 14:01:21,"2908,16"
2023-06-06 14:01:21,"2918,4"
2023-06-07 14:01:21,"2928,64"
2023-06-08 14:01:25,"2938,88"
2023-06-09 14:01:24,"2959,36"
2023-06-10 14:01:18,"2969,6"
2023-06-11 14:01:16,"2979,84"
2023-06-12 14:01:16,"2979,84"
2023-06-13 14:01:28,"2979,84"
2023-06-14 14:01:28,"2990,08"
2023-06-15 14:01:24,"3010,56"
2023-06-16 14:01:25,"3020,8"
2023-06-17 14:01:22,"3031,04"
2023-06-18 14:01:25,"3041,28"
2023-06-19 14:01:24,"3041,28"
2023-06-20 14:01:37,"3051,52"
2023-06-21 14:01:23,"3061,76"
2023-06-22 14:01:23,"3082,24"
2023-06-23 14:01:25,"3092,48"
2023-06-24 14:01:25,"3102,72"
2023-06-25 14:01:09,"3112,96"
2023-06-26 14:01:13,"3112,96"
2023-06-27 14:01:14,"3123,2"
2023-06-28 14:01:10,"3133,44"
2023-06-29 14:01:12,"3153,92"
2023-06-30 14:01:11,"3164,16"
2023-07-01 14:01:07,"3174,4"
2023-07-02 14:01:10,"3184,64"
2023-07-03 14:01:14,"3194,88"
2023-07-04 14:01:11,"3205,12"
2023-07-05 14:01:13,"3215,36"
2023-07-06 14:01:13,"3225,6"
2023-07-07 14:01:13,"3235,84"
2023-07-08 14:01:13,"3256,32"
2023-07-09 14:01:15,"3256,32"
2023-07-10 14:01:10,"3266,56"
2023-07-11 14:01:19,"3276,8"
2023-07-12 14:01:11,"3287,04"
2023-07-13 14:01:12,"3307,52"
2023-07-14 14:01:09,"3317,76"
2023-07-15 14:01:13,3328
2023-07-16 14:01:12,"3338,24"
2023-07-17 14:01:17,"3348,48"
2023-07-18 14:01:33,"3358,72"
2023-07-19 14:01:12,"3368,96"
2023-07-20 14:01:21,"3389,44"
2023-07-21 14:01:18,"3399,68"
2023-07-22 14:01:15,"3409,92"
2023-07-23 14:01:13,"3420,16"
2023-07-24 14:01:19,"3430,4"
2023-07-25 14:01:04,"3440,64"
