date,id,value
2024-06-21,159782958,5164401443
2024-06-22,159782958,5164401443
2024-06-23,159782958,5164401443
2024-06-24,159782958,5164401443
2024-06-25,159782958,5164401443
2024-06-26,159782958,5164401443
2024-06-27,159782958,5164401443
2024-06-28,159782958,5169267491
2024-06-29,159782958,5174985507
2024-06-30,159782958,5180670755
2024-07-01,159782958,5186347811
2024-07-02,159782958,5192033059
2024-07-03,159782958,5197636387
2024-07-04,159782958,5203510051
2024-07-05,159782958,5209195299
2024-07-06,159782958,5214896931
2024-07-07,159782958,5220590371
2024-07-08,159782958,5226275619
2024-07-09,159782958,5231985443
2024-07-10,159782958,5237662499
2024-07-11,159782958,5244166947
2024-07-12,159782958,5249221411
2024-07-13,159782958,5254914851
2024-07-14,159782958,5260591907
2024-07-15,159782958,5266252579
2024-07-16,159782958,5271954211
2024-07-17,159782958,5277631267
2024-07-18,159782958,5283496739
2024-07-19,159782958,5289198371
2024-07-20,159782958,5294908195
2024-07-21,159782958,5300585251
2024-07-22,159782958,5306262307
2024-07-23,159782958,5311972131
2024-07-24,159782958,5317665571
2024-07-25,159782958,5323522851
2024-07-26,159782958,5329216291
2024-07-27,159782958,5334913827
2024-07-28,159782958,5340611363
2024-07-29,159782958,5346288419
2024-07-30,159782958,5351965475
2024-07-31,159782958,5357658915
2024-08-01,159782958,5362189091
2024-08-02,159782958,5366719267
2024-08-03,159782958,5371249443
2024-08-04,159782958,5375779619
2024-08-05,159782958,5380309795
2024-08-06,159782958,5384839971
2024-08-07,159782958,5389370147
2024-08-08,159782958,5393900323
2024-08-09,159782958,5398430499
2024-08-10,159782958,5402960675
2024-08-11,159782958,5407490851
2024-08-12,159782958,5412021027
2024-08-13,159782958,5417706275
2024-08-14,159782958,5423334179
2024-08-15,159782958,5429142307
2024-08-16,159782958,5434778403
2024-08-17,159782958,5440480035
2024-08-18,159782958,5446148899
2024-08-19,159782958,5451735843
2024-08-20,159782958,5457445667
2024-08-21,159782958,5463130915
2024-08-22,159782958,5468988195
2024-08-23,159782958,5474714403
2024-08-24,159782958,5480178467
2024-08-25,159782958,5485871907
2024-08-26,159782958,5491548963
2024-08-27,159782958,5497258787
2024-08-28,159782958,5502935843
2024-08-29,159782958,5509350179
2024-08-30,159782958,5515092771
2024-08-31,159782958,5520229155
2024-09-01,159782958,5526012707
2024-09-02,159782958,5531730723
2024-09-03,159782958,5537964835
2024-09-04,159782958,5543068451
2024-09-05,159782958,5548991267
2024-09-06,159782958,5555045155
2024-09-07,159782958,5560460067
2024-09-08,159782958,5566120739
2024-09-09,159782958,5571805987
2024-09-10,159782958,5577507619
2024-09-11,159782958,5583151907
2024-09-12,159782958,5589025571
2024-09-13,159782958,5594710819
2024-09-14,159782958,5600338723
