date,id,value
2024-07-05,160077920,0.0006917559670792666
2024-07-06,160077920,0.0006917559670792666
2024-07-07,160077920,0.0006917559670792666
2024-07-08,160077920,0.0006917559670792666
2024-07-09,160077920,0.0006917559670792666
2024-07-10,160077920,-0.21840200486076658
2024-07-11,160077920,0.21978532089683742
2024-07-12,160077920,0.0006917559670792666
2024-07-13,160077920,-0.21783185515936374
2024-07-14,160077920,0.21921517119543457
2024-07-15,160077920,-2.1758382937197345
2024-07-16,160077920,2.1693815030716332
2024-07-17,160077920,-0.010473879627979238
2024-07-18,160077920,-2.1646727560737204
2024-07-19,160077920,1.9592708976246176
2024-07-20,160077920,0.2074426305033645
2024-07-21,160077920,0.0006744713877955609
2024-07-22,160077920,0.0006744713850430003
2024-07-23,160077920,-2.1646041808106435
2024-07-24,160077920,1.9598402995982511
2024-07-25,160077920,0.20676907398894098
2024-07-26,160077920,0.0006911797201828431
2024-07-27,160077920,-0.10206252417262263
2024-07-28,160077920,-0.10206252417498997
2024-07-29,160077920,0.1034114829353176
2024-07-30,160077920,0.10341148293501311
2024-07-31,160077920,0.0006572154553260409
2024-08-01,160077920,-0.1797352104894316
2024-08-02,160077920,-0.17973521048158211
2024-08-03,160077920,-0.17973521024166217
2024-08-04,160077920,-0.17973520804306395
2024-08-05,160077920,-0.17973520100312307
2024-08-06,160077920,-0.17973521361360462
2024-08-07,160077920,-0.1797345082039216
2024-08-08,160077920,-0.17973186897438406
2024-08-09,160077920,-0.17970952641955654
2024-08-10,160077920,-0.17970544270174293
2024-08-11,160077920,-0.17942462431467857
2024-08-12,160077920,-0.1722651947537871
2024-08-13,160077920,2.1693815030716332
2024-08-14,160077920,-0.010992607080049274
2024-08-15,160077920,0.0006915485083252333
2024-08-16,160077920,0.0006570805231159417
2024-08-17,160077920,-0.20108752110544947
2024-08-18,160077920,0.20243607041038783
2024-08-19,160077920,0.0006570560285024668
2024-08-20,160077920,-2.1562098662121825
2024-08-21,160077920,1.9566989856650698
2024-08-22,160077920,0.20148084403907338
2024-08-23,160077920,0.0006223683973082442
2024-08-24,160077920,0.0005871876089836506
2024-08-25,160077920,0.012758749433339689
2024-08-26,160077920,-2.167998187035562
2024-08-27,160077920,2.1693815030716332
2024-08-28,160077920,0.0006917559670792666
2024-08-29,160077920,-0.011758819438869464
2024-08-30,160077920,-2.155547709578657
2024-08-31,160077920,1.9622061599955634
2024-09-01,160077920,-1.9535640389450168
2024-09-02,160077920,2.149533090027357
2024-09-03,160077920,0.0006564787558334303
2024-09-04,160077920,0.0006217722373953817
2024-09-05,160077920,0.0006218926857372768
2024-09-06,160077920,0.013456096422975657
2024-09-07,160077920,-0.012282631098030648
2024-09-08,160077920,0.0006916324094550855
2024-09-09,160077920,0.013665972742681798
2024-09-10,160077920,-0.012387879098677907
2024-09-11,160077920,-2.1476598449043727
2024-09-12,160077920,2.162122698057157
2024-09-13,160077920,-0.012599768242466166
2024-09-14,160077920,0.01398308427853699
2024-09-15,160077920,-0.012846286709910022
2024-09-16,160077920,0.014229602745980846
2024-09-17,160077920,-0.013057605100286387
2024-09-18,160077920,0.0005499452590137168
2024-09-19,160077920,-0.1824397869887008
2024-09-20,160077920,0.18355737766326768
2024-09-21,160077920,0.0006210160532172279
2024-09-22,160077920,-2.146512038817421
2024-09-23,160077920,1.9663490266175006
2024-09-24,160077920,0.0006885682015600956
2024-09-25,160077920,0.1821707897492332
2024-09-26,160077920,-0.18033623372456684
2024-09-27,160077920,0.1816842102557956
2024-09-28,160077920,-2.14640641299131
2024-09-29,160077920,1.9668005270230193
2024-09-30,160077920,0.18168027149959717
2024-10-01,160077920,0.0006561756793978138
2024-10-02,160077920,-0.18003644621058912
2024-10-03,160077920,0.18141970163916551
2024-10-04,160077920,-2.1463702815223784
2024-10-05,160077920,1.967252361178472
2024-10-06,160077920,0.18115755507586664
2024-10-07,160077920,0.0006916320349164932
2024-10-08,160077920,0.0006560633347457624
2024-10-09,160077920,-0.08851363701877431
2024-10-10,160077920,-0.08851363702504082
2024-10-11,160077920,0.0009166410529007384
2024-10-12,160077920,-1.9681137144888032
2024-10-13,160077920,2.162122698057157
2024-10-14,160077920,0.0006917559670792666
2024-10-15,160077920,-0.0030178179338955515
2024-10-16,160077920,-0.0030178179344429318
2024-10-17,160077920,-0.0030178179349074916
2024-10-18,160077920,-0.0030178179346273637
2024-10-19,160077920,-0.7125867901103057
2024-10-20,160077920,-0.7125841105784411
2024-10-21,160077920,-0.7062679892540809
2024-10-22,160077920,0.48511356515746085
2024-10-23,160077920,0.49141411560975967
2024-10-24,160077920,0.4914244574999483
2024-10-25,160077920,0.491424539769592
2024-10-26,160077920,0.17752385338074167
2024-10-27,160077920,0.0006916406064024486
2024-10-28,160077920,0.0006559663695202148
2024-10-29,160077920,-2.1327148742491415
2024-10-30,160077920,1.957520036328965
2024-10-31,160077920,0.000910928063954793
2024-11-01,160077920,-1.9563559903388141
2024-11-02,160077920,2.134025565229138
2024-11-03,160077920,-0.1753780296348936
2024-11-04,160077920,0.17676131080703159
2024-11-05,160077920,-2.1326422143291337
2024-11-06,160077920,1.9581775338579548
2024-11-07,160077920,0.0006933373070327033
2024-11-08,160077920,0.0009065267373761265
2024-11-09,160077920,0.19134100197672665
2024-11-10,160077920,-0.1886675810973049
2024-11-11,160077920,0.0014272526055033887
2024-11-12,160077920,0.18931530254590775
2024-11-13,160077920,-2.147660109788913
2024-11-14,160077920,1.9627431149714636
2024-11-15,160077920,0.0012730565917920588
2024-11-16,160077920,0.000755470353087358
